Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
LEDA 34221, 1539.5467749338006, 11h14m12.480s, +54d03m59.20s, 32003.443280298077, 0.106153
LEDA 2510016, 1243.9249839255713, 11h14m14.660s, +55d39m42.65s, 25858.1832758667, 0.085685
LEDA 2467894, 776.0912023229738, 11h14m14.792s, +54d22m45.24s, 16133.053687147396, 0.053221
LEDA 2442966, 1014.6622296391301, 11h14m15.610s, +53d30m20.71s, 21092.366691043204, 0.069747
LEDA 2479466, 2104.644687986703, 11h14m19.328s, +54d45m40.03s, 43750.45824772641, 0.14535
LEDA 2541486, 1074.976956051481, 11h14m30.290s, +56d35m14.81s, 22346.16355979204, 0.073988
LEDA 2474551, 964.8673032308034, 11h14m34.079s, +54d36m16.57s, 20057.25094860399, 0.066315
LEDA 2512441, 1334.4450762395938, 11h14m34.434s, +55d43m53.48s, 27739.876438598785, 0.091963
LEDA 2534373, 1741.0629618014052, 11h14m35.832s, +56d21m48.06s, 36192.47602778095, 0.12017
LEDA 2447554, 1573.1272512507962, 11h14m36.025s, +53d40m11.78s, 32701.499933485877, 0.108474
LEDA 2502249, 1282.765240613312, 11h14m36.432s, +55d26m35.47s, 26665.578005365434, 0.088374
LEDA 2479429, 1058.5514367791814, 11h14m36.442s, +54d45m35.53s, 22004.71685421657, 0.072814
LEDA 2471016, 992.6332003420495, 11h14m37.071s, +54d29m03.13s, 20634.43660336564, 0.068238
LEDA 2490640, 860.1441653532071, 11h14m40.026s, +55d06m10.26s, 17880.310918091047, 0.059063
LEDA 2459912, 715.6954006873631, 11h14m40.535s, +54d06m20.90s, 14877.571461154934, 0.049028
LEDA 2519146, 748.4813673430519, 11h14m42.008s, +55d55m17.80s, 15559.112185567285, 0.051336
LEDA 2467802, 967.4245944248868, 11h14m46.550s, +54d22m35.15s, 20110.4108298194, 0.066488
LEDA 2490291, 789.3218684033797, 11h14m46.788s, +55d05m33.64s, 16408.087143979545, 0.054152
LEDA 2496406, 1056.5497180807545, 11h14m47.873s, +55d16m24.14s, 21963.10597764481, 0.072685
LEDA 34268, 503.27380183792866, 11h14m48.542s, +56d34m41.42s, 10461.841649645683, 0.034346
LEDA 2515655, 713.6791092730118, 11h14m48.700s, +55d49m37.00s, 14835.657653165228, 0.048921
LEDA 2454148, 2185.6261818104585, 11h14m50.163s, +53d54m09.55s, 45433.8670837157, 0.150949
LEDA 2454084, 1509.7098851843925, 11h14m52.545s, +53d54m01.27s, 31383.206711781506, 0.104081
LEDA 2468109, 965.1430936556015, 11h14m54.789s, +54d23m11.95s, 20062.983962605886, 0.06633
LEDA 2476173, 868.529716922305, 11h14m56.397s, +54d39m30.49s, 18054.626196057954, 0.059636
LEDA 2465346, 1029.0708892817674, 11h14m56.704s, +54d17m39.99s, 21391.887776810858, 0.070761
LEDA 2470809, 975.5307730262032, 11h14m56.864s, +54d28m38.10s, 20278.91862140524, 0.067052
LEDA 2471204, 997.6931015824075, 11h14m58.142s, +54d29m28.54s, 20739.61967736264, 0.068589
LEDA 34279, 497.5777417702056, 11h14m58.366s, +54d57m41.12s, 10343.434376630947, 0.03392
LEDA 2531102, 734.3395902969471, 11h14m59.369s, +56d15m47.69s, 15265.138941657824, 0.050362
LEDA 2470166, 631.7085997987778, 11h14m59.840s, +54d27m19.90s, 13131.689580659871, 0.043211
LEDA 2470970, 974.2313276235443, 11h15m03.155s, +54d28m56.92s, 20251.90630328868, 0.066962
LEDA 2509963, 844.5732149378314, 11h15m06.643s, +55d39m38.07s, 17556.628626294336, 0.057994
LEDA 2512840, 2523.8724529928995, 11h15m07.572s, +55d44m35.18s, 52465.186645295784, 0.174438
LEDA 2494570, 1035.6822550548043, 11h15m08.000s, +55d13m03.40s, 21529.322035365156, 0.071237
LEDA 34293, 1531.3197506820748, 11h15m08.522s, +53d39m53.82s, 31832.42340075134, 0.105575
LEDA 2536712, 896.7953408864119, 11h15m11.357s, +56d26m08.67s, 18642.19996000314, 0.06163
LEDA 2470355, 961.5602922360226, 11h15m12.080s, +54d27m41.38s, 19988.506211177388, 0.066083
LEDA 2502776, 2777.8025005235586, 11h15m12.541s, +55d27m25.45s, 57743.77642614884, 0.19204
LEDA 2447588, 1502.69085802789, 11h15m13.26s, +53d40m16.9s, 31237.29816184761, 0.10359
LEDA 34304, 1018.07017083106, 11h15m19.94s, +54d23m16.7s, 21163.209522462344, 0.07
LEDA 2542492, 1092.5908428288458, 11h15m21.060s, +56d37m10.90s, 22712.313543412525, 0.07521
LEDA 2470212, 967.9502170194885, 11h15m20.828s, +54d27m25.62s, 20121.33724866361, 0.066526
LEDA 2510186, 1337.4622982460933, 11h15m21.582s, +55d40m00.08s, 27802.597165842184, 0.092171
LEDA 34316, 478.1026083493292, 11h15m21.972s, +55d58m26.11s, 9938.593589745431, 0.032589
LEDA 2483306, 1000.0525149575197, 11h15m22.477s, +54d52m46.39s, 20788.666158674278, 0.06876
LEDA 2471919, 1010.362882346, 11h15m22.727s, +54d30m56.08s, 21002.993688885534, 0.069468
LEDA 2536930, 895.9423061728447, 11h15m23.287s, +56d26m34.95s, 18624.46743734371, 0.061571
LEDA 34321, 1519.4150252769612, 11h15m23.51s, +53d41m22.0s, 31584.953034489517, 0.10475
LEDA 2466861, 1006.8617911635166, 11h15m23.265s, +54d20m41.94s, 20930.214495098076, 0.069222
LEDA 34311, 961.5602922360226, 11h15m12.080s, +54d27m41.38s, 19988.506211177388, 0.066083
LEDA 2448298, 1416.4996170694733, 11h15m24.55s, +53d41m49.1s, 29445.591319169962, 0.097614
LEDA 2482280, 1075.6600937478547, 11h15m24.876s, +54d50m48.68s, 22360.364335549224, 0.074002
LEDA 2467471, 1018.0761748191079, 11h15m25.160s, +54d21m56.88s, 21163.334330811187, 0.07
LEDA 2460940, 1560.4519715032204, 11h15m26.620s, +54d08m23.70s, 32438.011611423757, 0.107604
LEDA 2467703, 1077.5779316377968, 11h15m28.152s, +54d22m25.89s, 22400.23153356548, 0.074126
LEDA 34322, 508.6323636736552, 11h15m29.120s, +55d27m22.40s, 10573.233153019148, 0.034696
LEDA 2449326, 1526.3539842495236, 11h15m29.053s, +53d44m04.30s, 31729.197161084678, 0.105232
LEDA 2467603, 1034.2849401921285, 11h15m29.581s, +54d22m12.58s, 21500.275248557213, 0.071124
LEDA 2443270, 558.7591938497004, 11h15m31.465s, +53d31m01.69s, 11615.24836975667, 0.038135
LEDA 2470305, 1047.5428300857773, 11h15m33.727s, +54d27m34.62s, 21775.874622435324, 0.072045
LEDA 2473285, 994.3998961287954, 11h15m34.592s, +54d33m39.63s, 20671.1619236516, 0.068362
LEDA 2474232, 1039.2713445387974, 11h15m35.798s, +54d35m36.78s, 21603.930500401126, 0.071474
LEDA 2457523, 1547.9801390514242, 11h15m36.218s, +54d01m22.34s, 32178.7524651795, 0.106737
LEDA 2446962, 1516.7288677032702, 11h15m36.471s, +53d38m58.10s, 31529.114333807454, 0.104563
LEDA 2541454, 551.901030805766, 11h15m36.861s, +56d35m11.34s, 11472.683794547169, 0.037718
LEDA 2465636, 803.1369622762605, 11h15m37.472s, +54d18m18.47s, 16695.26943708769, 0.055095
LEDA 2522644, 485.2140973855233, 11h15m39.294s, +56d01m10.23s, 10086.424197891836, 0.033083
LEDA 2446140, 1614.1557851680152, 11h15m39.695s, +53d37m08.31s, 33554.38363891923, 0.111318
LEDA 2452732, 2038.95553862235, 11h15m40.547s, +53d51m15.57s, 42384.94016146788, 0.140778
LEDA 2466964, 1033.7137838129747, 11h15m41.600s, +54d20m55.50s, 21488.402292774357, 0.071084
LEDA 2448045, 1618.9970651423953, 11h15m41.840s, +53d41m17.80s, 33655.02210706241, 0.111655
LEDA 34337, 484.678257262235, 11h15m42.487s, +55d55m24.46s, 10075.285381408847, 0.033044
LEDA 2472125, 1029.0657608019305, 11h15m43.350s, +54d31m20.40s, 21391.781168154175, 0.070765
LEDA 2493264, 505.69409983587605, 11h15m43.614s, +55d10m49.74s, 10512.153774590415, 0.034487
LEDA 2450687, 709.1486705425345, 11h15m43.761s, +53d46m58.22s, 14741.480820537376, 0.048568
LEDA 2468094, 2134.844580765485, 11h15m48.735s, +54d23m10.63s, 44378.24076875984, 0.147437
LEDA 2447268, 1628.3209066149698, 11h15m50.244s, +53d39m38.11s, 33848.84215630051, 0.112301
LEDA 34343, 2167.6680473263764, 11h15m53.820s, +53d45m08.50s, 45060.56102524534, 0.149701
LEDA 2474364, 1037.7267009821364, 11h15m55.787s, +54d35m53.58s, 21571.821107390962, 0.071367
LEDA 2443655, 558.3224065161672, 11h15m57.010s, +53d31m52.43s, 11606.168620520157, 0.038105
LEDA 2514850, 485.17295322525774, 11h15m57.396s, +55d48m10.85s, 10085.568910595073, 0.033076
LEDA 2477655, 614.8095155403405, 11h16m00.711s, +54d42m17.12s, 12780.398607654439, 0.042044
LEDA 34352, 311.8191176365765, 11h16m02.594s, +53d49m25.05s, 6481.963138420313, 0.021018
LEDA 34356, 498.12989570422343, 11h16m03.576s, +55d40m33.54s, 10354.912317669856, 0.033972
LEDA 2497480, 2038.5142481452917, 11h16m05.728s, +55d18m23.51s, 42375.76680279985, 0.140775
LEDA 2470100, 982.2569542565117, 11h16m05.642s, +54d27m13.32s, 20418.739614831335, 0.067518
LEDA 2479154, 594.7648989298949, 11h16m08.120s, +54d45m04.60s, 12363.719646539212, 0.040655
LEDA 2455209, 1548.2476328306693, 11h16m08.360s, +53d56m21.83s, 32184.313012043865, 0.106754
LEDA 2503967, 839.0238860650766, 11h16m08.473s, +55d29m25.95s, 17441.271538926485, 0.057606
LEDA 2460310, 756.3167310077545, 11h16m11.187s, +54d07m08.80s, 15721.990391482528, 0.051845
LEDA 2470649, 1515.3217299639296, 11h16m12.102s, +54d28m18.58s, 31499.863353219036, 0.104481
LEDA 2471968, 1030.2204938459918, 11h16m12.225s, +54d31m02.45s, 21415.785267335305, 0.070845
LEDA 2470476, 1071.307569594812, 11h16m12.286s, +54d27m57.81s, 22269.88591545444, 0.073693
LEDA 2480115, 593.1557360327919, 11h16m12.864s, +54d46m53.37s, 12330.269052932912, 0.040544
LEDA 2480239, 1016.1435704175393, 11h16m13.140s, +54d47m07.00s, 21123.160172834396, 0.069874
LEDA 34374, 485.99325160580076, 11h16m13.990s, +55d42m15.64s, 10102.620924292905, 0.033131
LEDA 2442689, 2010.7857289345802, 11h16m20.861s, +53d29m45.61s, 41799.35814393022, 0.138818
LEDA 2448704, 398.89875307345153, 11h16m20.901s, +53d42m42.03s, 8292.137547504373, 0.027054
LEDA 2474240, 1018.3303740652976, 11h16m22.439s, +54d35m37.35s, 21168.618516579223, 0.070022
LEDA 2486236, 721.90382343188, 11h16m22.641s, +54d58m16.43s, 15006.629511484585, 0.049475
LEDA 2440125, 1628.2314750534356, 11h16m23.11s, +53d24m13.2s, 33846.98309105246, 0.11229
LEDA 2474770, 1020.7625570160797, 11h16m23.582s, +54d36m43.99s, 21219.177700866432, 0.070191
LEDA 2477757, 2342.183549211869, 11h16m24.338s, +54d42m28.74s, 48688.315022109295, 0.16182
LEDA 2476505, 619.1886878442054, 11h16m24.924s, +54d40m09.47s, 12871.43097816973, 0.042347
LEDA 2467583, 969.992496754288, 11h16m25.993s, +54d22m08.87s, 20163.791290800764, 0.066666
LEDA 2466799, 2038.9659525635834, 11h16m26.716s, +54d20m34.45s, 42385.156642047106, 0.140788
LEDA 2470533, 1014.3267208553451, 11h16m29.029s, +54d28m03.35s, 21085.392277204843, 0.069742
LEDA 2475529, 1622.4151575717592, 11h16m31.003s, +54d38m13.17s, 33726.07595808598, 0.11191
LEDA 2466117, 1077.822253568945, 11h16m31.040s, +54d19m16.35s, 22405.31039391122, 0.074142
LEDA 2501985, 1581.1368483644462, 11h16m32.065s, +55d26m08.58s, 32868.000030201525, 0.109063
LEDA 2509562, 475.5380594443087, 11h16m36.489s, +55d38m56.75s, 9885.282838323212, 0.032405
LEDA 2506059, 846.4341830706087, 11h16m43.003s, +55d32m59.72s, 17595.313639996722, 0.058121
LEDA 2452958, 498.69913410885823, 11h16m43.940s, +53d51m42.50s, 10366.745403414508, 0.033977
LEDA 34403, 590.0907397841487, 11h16m44.250s, +54d42m08.53s, 12266.555215071769, 0.04033
LEDA 2465102, 509.572916320961, 11h16m45.934s, +54d17m08.62s, 10592.784961246267, 0.034739
LEDA 34418, 612.9645285413012, 11h16m46.635s, +54d45m04.90s, 12742.045802960225, 0.041917
LEDA 2480863, 1009.345267304807, 11h16m46.694s, +54d48m15.11s, 20981.839940404327, 0.069403
LEDA 2475697, 2123.264979425108, 11h16m47.270s, +54d38m34.80s, 44137.5289432155, 0.146639
LEDA 2472807, 1021.631470549482, 11h16m47.733s, +54d32m42.24s, 21237.240305676165, 0.07025
LEDA 2468853, 2017.7901624012986, 11h16m48.492s, +54d24m42.18s, 41944.963326450496, 0.139321
LEDA 2486887, 1073.7591267810528, 11h16m49.404s, +54d59m25.66s, 22320.84784310463, 0.073873
LEDA 34410, 609.942308069519, 11h16m49.785s, +54d43m41.05s, 12679.221169747378, 0.041707
LEDA 2485269, 1727.624426040747, 11h16m53.875s, +54d56m26.33s, 35913.12146448424, 0.119211
LEDA 2465427, 1520.5606533463638, 11h16m56.108s, +54d17m49.62s, 31608.76786333161, 0.104841
LEDA 2510654, 1595.9521580598387, 11h16m56.539s, +55d40m48.36s, 33175.97438423629, 0.110095
LEDA 2471303, 1613.122837311716, 11h16m57.797s, +54d29m41.23s, 33532.91115840171, 0.111263
LEDA 2471751, 1626.992205529214, 11h17m02.744s, +54d30m37.02s, 33821.221683492025, 0.112225
LEDA 2473085, 1021.700840343944, 11h17m03.853s, +54d33m14.88s, 21238.682335446603, 0.070255
LEDA 34444, 1997.7483800932764, 11h17m04.050s, +54d55m15.45s, 41528.343283608054, 0.137941
LEDA 2504850, 843.6313564632328, 11h17m04.668s, +55d30m52.78s, 17537.04967308508, 0.057926
LEDA 2483762, 1002.9026667299572, 11h17m05.031s, +54d53m38.31s, 20847.913900980366, 0.068958
LEDA 34447, 2022.5835829367588, 11h17m06.40s, +54d55m01.7s, 42044.6069129416, 0.139663
LEDA 34448, 2043.3202145536336, 11h17m06.543s, +54d55m25.17s, 42475.67118755815, 0.141101
LEDA 2472680, 1623.7678028349549, 11h17m07.064s, +54d32m26.05s, 33754.19417226685, 0.112002
LEDA 2488942, 1500.9275968410868, 11h17m07.474s, +55d03m06.11s, 31200.644238563833, 0.103494
LEDA 34452, 1983.3419865238232, 11h17m08.305s, +54d55m02.76s, 41228.86930400554, 0.136942
LEDA 2451087, 1410.7454481333614, 11h17m11.282s, +53d47m50.06s, 29325.97610372448, 0.097217
LEDA 2482570, 1510.1680949996185, 11h17m15.983s, +54d51m18.60s, 31392.73178245219, 0.104131
LEDA 2483895, 788.2772928018195, 11h17m16.608s, +54d53m54.45s, 16386.372950841145, 0.054076
LEDA 2481311, 1028.478583975709, 11h17m21.919s, +54d49m03.97s, 21379.575186134374, 0.07073
LEDA 2447816, 403.08868245978687, 11h17m23.841s, +53d40m47.44s, 8379.236016772906, 0.027344
LEDA 2453055, 586.7997352894927, 11h17m28.818s, +53d51m54.39s, 12198.143213959002, 0.040086
LEDA 34475, 395.5309987866268, 11h17m31.326s, +53d31m20.83s, 8222.130104369033, 0.026817
LEDA 2506135, 1996.2904877496255, 11h17m31.688s, +55d33m07.58s, 41498.037237901306, 0.137852
LEDA 2515514, 1598.7388001997028, 11h17m31.854s, +55d49m21.20s, 33233.90191532378, 0.110291
LEDA 2515816, 2522.605872006216, 11h17m32.067s, +55d49m51.83s, 52438.85749867471, 0.174352
LEDA 2444994, 1114.0632674619392, 11h17m37.830s, +53d34m41.31s, 23158.673170170357, 0.076641
LEDA 2465438, 1287.735574430746, 11h17m38.950s, +54d17m52.10s, 26768.899189885626, 0.088697
LEDA 2450195, 533.1346068117487, 11h17m41.800s, +53d45m54.80s, 11082.5753576714, 0.036363
LEDA 34505, 541.8087868615769, 11h17m43.504s, +53d47m36.28s, 11262.890521684332, 0.036965
LEDA 2471799, 720.8314734172473, 11h17m44.750s, +54d30m42.70s, 14984.337955665242, 0.049392
LEDA 2482379, 1512.5919732913883, 11h17m46.635s, +54d50m57.97s, 31443.118333021484, 0.104299
LEDA 2472419, 1021.7062383493358, 11h17m49.204s, +54d31m53.40s, 21238.79454688583, 0.070255
LEDA 2483751, 2043.183535422416, 11h17m49.369s, +54d53m36.55s, 42472.829959935356, 0.141091
LEDA 2503869, 1973.521466684811, 11h17m51.170s, +55d29m17.72s, 41024.72451622253, 0.136272
LEDA 34515, 352.3051237922055, 11h17m53.070s, +54d38m48.80s, 7323.569007591249, 0.023841
LEDA 2439149, 1498.7607218435428, 11h17m54.446s, +53d22m14.07s, 31155.600163120023, 0.103312
LEDA 2467019, 508.6742096814041, 11h17m56.732s, +54d21m02.55s, 10574.103030022758, 0.034678
LEDA 34523, 710.4361841730572, 11h18m00.747s, +53d26m27.97s, 14768.245106051738, 0.048651
LEDA 2506142, 2012.0240220019652, 11h18m02.461s, +55d33m07.51s, 41825.09925332142, 0.138943
LEDA 2447908, 1429.8264367999727, 11h18m07.450s, +53d40m59.85s, 29722.623577166894, 0.098538
LEDA 2511533, 852.1293383030771, 11h18m07.753s, +55d42m22.71s, 17713.702103681193, 0.058519
LEDA 34528, 99.6263606291998, 11h18m08.448s, +54d50m28.44s, 2070.9903937515737, 0.006324
LEDA 2473689, 1023.4246366818815, 11h18m09.591s, +54d34m28.74s, 21274.515880244442, 0.070375
LEDA 2462962, 540.9012458785932, 11h18m10.090s, +54d12m41.09s, 11244.024945888683, 0.03691
LEDA 2445350, 1409.733154152326, 11h18m11.044s, +53d35m27.08s, 29304.932967177723, 0.097143
LEDA 2462539, 1524.1777267528457, 11h18m12.110s, +54d11m47.67s, 31683.95804624112, 0.10509
LEDA 2441024, 389.12150642515405, 11h18m13.725s, +53d26m09.65s, 8088.892304397207, 0.026371
LEDA 2507240, 847.8225363779059, 11h18m14.180s, +55d34m56.70s, 17624.174137804595, 0.058218
LEDA 2473300, 1009.2083135841586, 11h18m15.194s, +54d33m41.41s, 20978.99300473329, 0.069389
LEDA 34553, 526.5329281181317, 11h18m17.052s, +53d44m59.64s, 10945.34247000223, 0.035905
LEDA 2461383, 1051.0269710238672, 11h18m17.360s, +54d09m17.58s, 21848.301461754658, 0.072281
LEDA 2503672, 1004.4554040378395, 11h18m19.926s, +55d28m57.18s, 20880.191543447025, 0.069077
LEDA 34559, 529.2001016483355, 11h18m20.747s, +53d45m09.80s, 11000.786538465989, 0.03609
LEDA 2478891, 845.3854597753924, 11h18m23.229s, +54d44m34.45s, 17573.51322636744, 0.058033
LEDA 2523221, 987.7317015582382, 11h18m24.093s, +56d02m07.94s, 20532.5463322351, 0.067928
LEDA 2457464, 510.78259765548813, 11h18m24.487s, +54d01m16.05s, 10617.931302109107, 0.034818
LEDA 2440852, 521.9182781879382, 11h18m25.996s, +53d25m44.58s, 10849.415090786531, 0.035579
LEDA 2470472, 596.960795176983, 11h18m26.537s, +54d27m55.96s, 12409.367003370005, 0.040802
LEDA 2457412, 1510.7559266105607, 11h18m26.665s, +54d01m08.69s, 31404.95137585815, 0.104156
LEDA 2520251, 1615.6038060678109, 11h18m26.925s, +55d57m11.59s, 33584.484481251406, 0.111463
LEDA 2509113, 2011.75501960723, 11h18m27.869s, +55d38m11.41s, 41819.50734600016, 0.138926
LEDA 2478545, 1029.13529012892, 11h18m29.565s, +54d43m56.36s, 21393.22651421891, 0.070774
LEDA 2458336, 500.7509015806656, 11h18m31.460s, +54d03m07.82s, 10409.396672591549, 0.034123
LEDA 34576, 489.66755941139616, 11h18m32.301s, +53d48m52.38s, 10179.000871537955, 0.03335
LEDA 2460161, 1205.1193732466045, 11h18m32.866s, +54d06m50.58s, 25051.50875285648, 0.082965
LEDA 2444429, 1544.3822693944644, 11h18m38.709s, +53d33m33.18s, 32103.961481643862, 0.106479
LEDA 34597, 455.0716894999612, 11h18m39.634s, +55d10m40.41s, 9459.83664835884, 0.030977
LEDA 2453394, 533.7667066237746, 11h18m40.780s, +53d52m33.40s, 11095.715179605377, 0.036409
LEDA 2506457, 1363.2166679548238, 11h18m42.342s, +55d33m39.75s, 28337.968044865083, 0.093955
LEDA 34596, 821.9346590672958, 11h18m42.580s, +54d57m20.00s, 17086.027959561296, 0.056411
LEDA 2521754, 1632.883622761269, 11h18m44.530s, +55d59m40.30s, 33943.68995811443, 0.112662
LEDA 2497507, 1516.344356185393, 11h18m46.278s, +55d18m25.08s, 31521.121271983444, 0.104568
LEDA 2448530, 1431.1030813738457, 11h18m47.225s, +53d42m19.94s, 29749.1619213564, 0.098627
LEDA 2499900, 2037.0061942061586, 11h18m48.318s, +55d22m42.10s, 42344.41801918998, 0.140672
LEDA 2454645, 538.2109179527719, 11h18m50.084s, +53d55m10.78s, 11188.099553701019, 0.036718
LEDA 2504737, 730.462965732368, 11h18m56.001s, +55d30m40.90s, 15184.553319712786, 0.050079
LEDA 2505443, 2024.6906159043094, 11h18m59.011s, +55d31m55.95s, 42088.40701772869, 0.139821
LEDA 2469743, 1031.3054449796646, 11h19m03.033s, +54d26m27.99s, 21438.33876985548, 0.070919
LEDA 2470239, 1040.1702239608503, 11h19m03.541s, +54d27m28.07s, 21622.616023353643, 0.071534
LEDA 2517375, 1037.3004518676985, 11h19m04.752s, +55d52m17.97s, 21562.960422168988, 0.071362
LEDA 2443836, 1546.6371741031487, 11h19m08.334s, +53d32m16.23s, 32150.835481266222, 0.106635
LEDA 2524318, 999.865078176468, 11h19m08.432s, +56d04m01.72s, 20784.769802624112, 0.06877
LEDA 2449988, 1473.5168114210194, 11h19m08.648s, +53d45m31.63s, 30630.840494538406, 0.101569
LEDA 2507060, 2013.1837038884116, 11h19m11.486s, +55d34m39.18s, 41849.20622693232, 0.139024
LEDA 2441811, 1435.7973087256623, 11h19m12.307s, +53d27m51.21s, 29846.743522152614, 0.098948
LEDA 2469390, 1511.8541374048514, 11h19m12.990s, +54d25m48.69s, 31427.780514561266, 0.10424
LEDA 2448057, 1478.2227680426154, 11h19m19.578s, +53d41m17.60s, 30728.665918403993, 0.101894
LEDA 2452940, 2135.387667105988, 11h19m21.190s, +53d51m40.40s, 44389.530216523024, 0.147465
LEDA 2476124, 1543.6493943215503, 11h19m23.985s, +54d39m24.87s, 32088.72678646641, 0.106449
LEDA 2514392, 726.5494916212675, 11h19m24.261s, +55d47m18.98s, 15103.201685074142, 0.049813
LEDA 2447899, 1522.3833813239671, 11h19m25.064s, +53d40m58.26s, 31646.657956959425, 0.104956
LEDA 2495963, 1526.8555453772983, 11h19m25.867s, +55d15m34.28s, 31739.623400394634, 0.105296
LEDA 2467604, 1047.3323679456273, 11h19m26.544s, +54d22m12.82s, 21771.499625017514, 0.072029
LEDA 2445195, 2045.5285854793697, 11h19m27.067s, +53d35m07.74s, 42521.57786270071, 0.141229
LEDA 2445898, 1121.7675954649433, 11h19m27.407s, +53d36m39.64s, 23318.82746250588, 0.077176
LEDA 2438827, 1406.1165802030373, 11h19m27.495s, +53d21m33.88s, 29229.75316677182, 0.096888
LEDA 2487788, 1076.661835409797, 11h19m28.378s, +55d01m01.93s, 22381.188114976685, 0.074075
LEDA 2467050, 1025.632559658733, 11h19m29.818s, +54d21m07.58s, 21320.41324361619, 0.070524
LEDA 2446358, 1538.5507930852657, 11h19m30.235s, +53d37m36.34s, 31982.73923342093, 0.106076
LEDA 34650, 1012.9838116735292, 11h19m30.834s, +54d27m39.07s, 21057.476452540996, 0.069649
LEDA 2489556, 1066.0326639495124, 11h19m31.548s, +55d04m14.57s, 22160.233421371868, 0.073339
LEDA 2448179, 516.1052374747819, 11h19m31.762s, +53d41m36.34s, 10728.576073889782, 0.035181
LEDA 165574, 505.62211927306276, 11h19m38.120s, +53d34m52.00s, 10510.657473278376, 0.034452
LEDA 2489248, 1023.5631760645517, 11h19m35.164s, +55d03m41.22s, 21277.395777982896, 0.070394
LEDA 2443618, 1478.3807242000191, 11h19m35.726s, +53d31m47.10s, 30731.949443793772, 0.101902
LEDA 2474113, 1553.8638050906611, 11h19m35.764s, +54d35m21.12s, 32301.05961130374, 0.107156
LEDA 2478593, 1553.7520461859874, 11h19m36.842s, +54d44m01.76s, 32298.736414746792, 0.107151
LEDA 2531540, 1634.2175694579282, 11h19m37.578s, +56d16m33.97s, 33971.41947445038, 0.11276
LEDA 2461213, 490.52671488049015, 11h19m37.781s, +54d08m57.84s, 10196.860629858898, 0.033416
LEDA 2445071, 505.62211927306276, 11h19m38.120s, +53d34m52.00s, 10510.657473278376, 0.034452
LEDA 2530542, 748.4150503786723, 11h19m38.820s, +56d14m49.87s, 15557.733616729623, 0.051338
LEDA 2511553, 848.8823645962618, 11h19m39.780s, +55d42m23.91s, 17646.20539585096, 0.058294
LEDA 2458263, 500.3606506248031, 11h19m39.950s, +54d02m58.20s, 10401.28430177283, 0.034096
LEDA 2468434, 1023.7884907125319, 11h19m41.370s, +54d23m48.66s, 21282.079523013745, 0.070397
LEDA 2448820, 1438.929886734119, 11h19m42.450s, +53d42m57.90s, 29911.86222088072, 0.09917
LEDA 34667, 508.84680567394855, 11h19m42.495s, +54d01m35.57s, 10577.690882076191, 0.034684
LEDA 2457251, 1553.2565464623005, 11h19m44.029s, +54d00m47.18s, 32288.43617732588, 0.107103
LEDA 2468029, 1035.0120526305504, 11h19m44.427s, +54d23m01.96s, 21515.390152540844, 0.071175
LEDA 2510849, 855.3347471854845, 11h19m45.537s, +55d41m05.61s, 17780.334779627465, 0.058741
LEDA 2474209, 1029.1861503392076, 11h19m45.960s, +54d35m34.50s, 21394.283774629355, 0.070775
LEDA 2465840, 1226.7106558776545, 11h19m46.626s, +54d18m42.92s, 25500.33914910177, 0.084466
LEDA 2468484, 1029.2681687698343, 11h19m46.750s, +54d23m54.43s, 21395.98873886639, 0.070777
LEDA 2443666, 1484.162990018209, 11h19m47.920s, +53d31m54.14s, 30852.148725268675, 0.102303
LEDA 34671, 37.29578243727341, 11h19m48.570s, +55d43m21.20s, 775.2888559536884, 0.002019
LEDA 34670, 596.3538211039146, 11h19m52.525s, +54d27m46.28s, 12396.749484606478, 0.04076
LEDA 2447030, 1516.9973625037046, 11h19m53.233s, +53d39m06.62s, 31534.695689474367, 0.104582
LEDA 2481155, 1062.9155428949136, 11h19m53.760s, +54d48m48.98s, 22095.436035223618, 0.073118
LEDA 2498043, 1550.359189239709, 11h19m56.376s, +55d19m21.92s, 32228.207148207905, 0.106927
LEDA 2476373, 1548.6650652467874, 11h19m59.683s, +54d39m53.75s, 32192.99041949267, 0.106797
LEDA 2519045, 739.1171823285348, 11h20m01.772s, +55d55m06.60s, 15364.453491945456, 0.050687
LEDA 2472564, 1024.8889761996222, 11h20m03.151s, +54d32m12.50s, 21304.955947062892, 0.070476
LEDA 2495201, 1559.122440573388, 11h20m04.120s, +55d14m09.80s, 32410.373888169706, 0.107533
LEDA 2448071, 1569.4242626090381, 11h20m04.520s, +53d41m21.33s, 32624.52378122237, 0.108218
LEDA 2446982, 1536.6254910950936, 11h20m05.484s, +53d38m59.99s, 31942.716874865066, 0.105943
LEDA 2476256, 1038.6564550206265, 11h20m06.392s, +54d39m39.76s, 21591.148438732827, 0.071433
LEDA 2495002, 1521.38254320828, 11h20m10.198s, +55d13m45.15s, 31625.852960067055, 0.104916
LEDA 2494089, 1489.387647725554, 11h20m10.845s, +55d12m14.88s, 30960.75668659754, 0.102697
LEDA 2486301, 1051.6510057068995, 11h20m14.867s, +54d58m24.54s, 21861.273629218827, 0.07234
LEDA 2464644, 1044.5028928963536, 11h20m17.310s, +54d16m12.60s, 21712.681701634607, 0.071831
