Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
LEDA 2790855, 880.0631422858671, 13h27m47.305s, +46d58m04.73s, 18294.37813504414, 0.060438
LEDA 2272168, 531.5628483888948, 13h28m05.701s, +45d54m06.90s, 11049.902312360193, 0.036258
LEDA 47231, 124.76320545908406, 13h28m10.054s, +46d40m19.70s, 2593.5244283498055, 0.008062
LEDA 2310700, 1096.8958621102179, 13h28m11.681s, +48d06m41.19s, 22801.804452448338, 0.075491
LEDA 2289565, 1090.0639017049155, 13h28m19.840s, +46d55m53.70s, 22659.784566541504, 0.075
LEDA 47257, 124.91696284957263, 13h28m25.273s, +46d35m29.93s, 2596.7206715595253, 0.008072
LEDA 3096263, 2647.7230436076125, 13h28m29.334s, +46d22m19.60s, 55039.74002457834, 0.183
LEDA 91291, 884.5259350707086, 13h28m30.831s, +47d42m50.62s, 18387.14877253746, 0.06076
LEDA 47270, 138.88851454813843, 13h28m33.190s, +46d55m37.90s, 2887.1553433752156, 0.009046
LEDA 47274, 131.6527497897436, 13h28m33.649s, +46d29m59.79s, 2736.7413443950118, 0.008538
LEDA 47295, 134.59367701802066, 13h28m49.784s, +46d15m44.40s, 2797.876088252142, 0.008739
LEDA 2294282, 1541.0565531674356, 13h28m52.077s, +47d12m37.36s, 32034.82790780837, 0.106277
LEDA 2274979, 1312.342132249777, 13h29m11.248s, +46d04m41.46s, 27280.40984373932, 0.090402
LEDA 47323, 131.61705006678164, 13h29m15.283s, +46d30m08.61s, 2735.999233744308, 0.008537
LEDA 2281785, 1184.6067237593888, 13h29m23.298s, +46d28m15.42s, 24625.10052344691, 0.081551
LEDA 2275488, 539.4935427101054, 13h29m34.843s, +46d06m22.17s, 11214.762211399739, 0.036814
LEDA 3087449, 577.9206820297227, 13h29m42.814s, +47d53m05.01s, 12013.569232831333, 0.039505
LEDA 47404, 30.456254074470834, 13h29m52.711s, +47d11m42.62s, 633.1116505665027, 0.001534
LEDA 2315981, 1662.4540414738528, 13h29m52.620s, +48d22m14.75s, 34558.38724010091, 0.114714
LEDA 2271002, 1964.783876231848, 13h29m52.930s, +45d49m26.40s, 40843.09120373035, 0.13564
LEDA 47413, 30.206996882179666, 13h29m59.59s, +47d15m58.1s, 627.9301981120686, 0.001518
LEDA 47441, 129.60645551335756, 13h30m11.40s, +46d40m14.8s, 2694.2038496755445, 0.008402
LEDA 2309482, 1681.1573031533633, 13h30m20.349s, +48d02m52.44s, 34947.18268565826, 0.116007
LEDA 2278401, 2638.048981695622, 13h30m30.264s, +46d16m31.69s, 54838.639741864434, 0.182332
LEDA 2278118, 2335.9740504941287, 13h30m32.290s, +46d15m34.80s, 48559.23460490611, 0.161386
LEDA 2277435, 1564.6510223506236, 13h30m33.636s, +46d13m07.08s, 32525.299693743786, 0.107902
LEDA 2303602, 896.0532509083349, 13h30m36.141s, +47d44m38.65s, 18626.7737092981, 0.061564
LEDA 2300341, 892.4541588689762, 13h30m45.059s, +47d33m31.15s, 18551.957315397278, 0.061312
LEDA 3096266, 1323.8889122237447, 13h30m49.246s, +46d24m56.22s, 27520.43939268423, 0.091211
LEDA 2292105, 1079.2670902091909, 13h30m56.249s, +47d05m07.92s, 22435.345043210782, 0.074259
LEDA 2305258, 887.7473786857188, 13h31m22.554s, +47d50m04.56s, 18454.114771682303, 0.060991
LEDA 2302712, 882.697125051936, 13h31m29.690s, +47d41m43.00s, 18349.132248025733, 0.060639
LEDA 2287260, 889.5208008510863, 13h31m31.940s, +46d47m42.40s, 18490.97991706498, 0.061099
LEDA 47559, 132.70064170982403, 13h31m37.706s, +46d09m03.03s, 2758.524475751718, 0.008612
LEDA 2287732, 1078.288595416546, 13h31m45.539s, +46d49m17.76s, 22415.004509810737, 0.074189
LEDA 2306178, 1580.554633442938, 13h31m54.951s, +47d52m58.20s, 32855.89719414561, 0.109032
LEDA 2299047, 398.36905821617864, 13h32m08.867s, +47d29m06.32s, 8281.126476196503, 0.027054
LEDA 2271019, 2283.6326621505523, 13h32m15.295s, +45d49m28.87s, 47471.184095276265, 0.157754
LEDA 2290538, 1319.4965965962876, 13h32m19.102s, +46d59m31.01s, 27429.133804350593, 0.090918
LEDA 2293576, 2300.5813068647035, 13h32m20.814s, +47d10m20.14s, 47823.50530994711, 0.158949
