RA	DEC	NAME	DIAMETER
169.661250	53.559167	LEDA 2444429 , 1544 Mly	0.36
169.666250	55.178056	LEDA 34597 , 455 Mly	0.73
169.669583	53.875833	LEDA 2453394 , 534 Mly	0.69
169.676667	55.560833	LEDA 2506457 , 1363 Mly	0.52
169.677083	54.955278	LEDA 34596 , 822 Mly	0.98
169.685417	55.994167	LEDA 2521754 , 1633 Mly	0.47
169.692917	55.306667	LEDA 2497507 , 1516 Mly	0.33
169.696667	53.705556	LEDA 2448530 , 1431 Mly	0.33
169.701667	55.378056	LEDA 2499900 , 2037 Mly	0.44
169.708750	53.919722	LEDA 2454645 , 538 Mly	0.79
169.733333	55.510833	LEDA 2504737 , 730 Mly	0.48
169.745833	55.531944	LEDA 2505443 , 2025 Mly	0.33
169.762917	54.441111	LEDA 2469743 , 1031 Mly	0.91
169.764583	54.457778	LEDA 2470239 , 1040 Mly	0.59
169.769167	55.871667	LEDA 2517375 , 1037 Mly	0.55
169.784583	53.537778	LEDA 2443836 , 1547 Mly	0.54
169.785000	56.066667	LEDA 2524318 , 1000 Mly	0.33
169.785833	53.758889	LEDA 2449988 , 1474 Mly	0.39
169.797500	55.577222	LEDA 2507060 , 2013 Mly	0.45
169.801250	53.464167	LEDA 2441811 , 1436 Mly	0.47
169.804167	54.430000	LEDA 2469390 , 1512 Mly	0.36
169.831250	53.688611	LEDA 2448057 , 1478 Mly	0.51
169.838333	53.861389	LEDA 2452940 , 2135 Mly	0.33
169.849583	54.656944	LEDA 2476124 , 1544 Mly	0.35
169.850833	55.788056	LEDA 2514392 , 727 Mly	0.36
169.854167	53.682778	LEDA 2447899 , 1522 Mly	0.47
169.857917	55.259167	LEDA 2495963 , 1527 Mly	0.49
169.860417	54.370278	LEDA 2467604 , 1047 Mly	0.41
169.862500	53.585556	LEDA 2445195 , 2046 Mly	0.75
169.863750	53.610833	LEDA 2445898 , 1122 Mly	0.43
169.864167	53.359444	LEDA 2438827 , 1406 Mly	0.36
169.868333	55.016944	LEDA 2487788 , 1077 Mly	0.61
169.874167	54.352222	LEDA 2467050 , 1026 Mly	0.33
169.876250	53.626667	LEDA 2446358 , 1539 Mly	0.51
169.878750	54.460833	LEDA 34650 , 1013 Mly	0.71
169.881250	55.070556	LEDA 2489556 , 1066 Mly	0.33
169.882083	53.693611	LEDA 2448179 , 516 Mly	0.61
169.891667	53.588611	LEDA 165574 , 506 Mly	1.87
169.896250	55.061111	LEDA 2489248 , 1024 Mly	0.42
169.898750	53.529722	LEDA 2443618 , 1478 Mly	0.49
169.898750	54.588889	LEDA 2474113 , 1554 Mly	0.50
169.903333	54.733611	LEDA 2478593 , 1554 Mly	0.37
169.905833	56.276389	LEDA 2531540 , 1634 Mly	0.43
169.906667	54.149444	LEDA 2461213 , 491 Mly	1.03
169.908750	53.581111	LEDA 2445071 , 506 Mly	1.87
169.911250	56.247500	LEDA 2530542 , 748 Mly	0.48
169.915833	55.706389	LEDA 2511553 , 849 Mly	0.50
169.916667	54.049444	LEDA 2458263 , 500 Mly	0.64
169.922083	54.396667	LEDA 2468434 , 1024 Mly	0.49
169.926250	53.716111	LEDA 2448820 , 1439 Mly	0.56
169.927083	54.026389	LEDA 34667 , 509 Mly	1.05
169.933333	54.013056	LEDA 2457251 , 1553 Mly	0.55
169.935000	54.383889	LEDA 2468029 , 1035 Mly	0.57
169.938750	55.685000	LEDA 2510849 , 855 Mly	0.53
169.941250	54.592778	LEDA 2474209 , 1029 Mly	0.49
169.944167	54.311944	LEDA 2465840 , 1227 Mly	0.33
169.944583	54.398611	LEDA 2468484 , 1029 Mly	0.33
169.949583	53.531667	LEDA 2443666 , 1484 Mly	0.55
169.952083	55.721944	LEDA 34671 , 37 Mly	0.50
169.968750	54.462778	LEDA 34670 , 596 Mly	1.58
169.971667	53.651667	LEDA 2447030 , 1517 Mly	0.53
169.974167	54.813333	LEDA 2481155 , 1063 Mly	0.69
169.984583	55.322500	LEDA 2498043 , 1550 Mly	0.36
169.998750	54.664722	LEDA 2476373 , 1549 Mly	0.33
170.007500	55.918333	LEDA 2519045 , 739 Mly	0.83
170.012917	54.536944	LEDA 2472564 , 1025 Mly	0.53
170.017083	55.235556	LEDA 2495201 , 1559 Mly	0.59
170.018750	53.689167	LEDA 2448071 , 1569 Mly	0.33
170.022083	53.650278	LEDA 2446982 , 1537 Mly	0.42
170.026667	54.660833	LEDA 2476256 , 1039 Mly	0.57
170.041667	55.229167	LEDA 2495002 , 1521 Mly	0.56
170.045000	55.203889	LEDA 2494089 , 1489 Mly	0.36
170.062083	54.973333	LEDA 2486301 , 1052 Mly	0.33
170.070417	54.270000	LEDA 2464644 , 1045 Mly	0.66
170.088333	54.143889	LEDA 2461061 , 1510 Mly	0.87
170.092500	54.843889	LEDA 2482172 , 2047 Mly	0.33
170.112917	54.529722	LEDA 2472365 , 840 Mly	0.69
170.115833	54.431667	LEDA 2469444 , 1002 Mly	0.43
170.123750	55.841389	LEDA 2516219 , 998 Mly	0.47
170.126667	53.762778	LEDA 2450118 , 1492 Mly	0.49
170.137083	53.803056	LEDA 2451251 , 1456 Mly	0.41
170.195000	56.451944	LEDA 2537208 , 1232 Mly	0.63
170.199583	54.259444	LEDA 2464331 , 2044 Mly	0.60
170.230000	55.135278	LEDA 2491729 , 1994 Mly	0.37
170.231250	55.746667	LEDA 2513000 , 729 Mly	0.92
170.260417	54.461944	LEDA 2470362 , 1043 Mly	0.33
170.327083	55.201389	LEDA 2494002 , 3416 Mly	0.33
170.332083	55.170278	LEDA 2492924 , 1502 Mly	0.64
170.337917	55.423056	LEDA 2501545 , 2051 Mly	0.35
170.364167	54.959167	LEDA 2485842 , 476 Mly	0.33
170.365417	55.935000	LEDA 2519649 , 743 Mly	0.43
170.385000	56.108611	LEDA 2525835 , 689 Mly	0.67
170.387917	55.759167	LEDA 2513430 , 855 Mly	0.33
170.413333	54.781389	LEDA 2480108 , 1371 Mly	0.45
170.425417	54.901111	LEDA 2483992 , 1077 Mly	0.84
170.442917	55.079722	LEDA 2489852 , 1069 Mly	0.33
170.444167	55.754444	LEDA 34750 , 731 Mly	0.87
170.480000	56.424444	LEDA 2536359 , 1135 Mly	0.55
170.480417	54.939444	LEDA 2485213 , 1084 Mly	0.69
170.480417	55.011111	LEDA 2487604 , 1070 Mly	0.52
170.485000	55.191944	LEDA 2493689 , 2017 Mly	0.63
170.515000	55.742222	LEDA 34769 , 1005 Mly	0.67
170.529583	56.382500	LEDA 2534947 , 901 Mly	0.47
170.552083	54.963056	LEDA 2485962 , 1059 Mly	0.41
170.573333	55.309444	LEDA 2497601 , 1062 Mly	0.98
170.574167	55.644444	LEDA 2509412 , 1544 Mly	0.45
170.618333	56.026389	LEDA 2522873 , 991 Mly	0.59
170.653333	55.971389	LEDA 2520918 , 850 Mly	0.86
170.693750	55.677222	LEDA 2510566 , 2014 Mly	0.51
170.710000	55.962222	LEDA 2520575 , 824 Mly	0.62
170.745000	56.194722	LEDA 3086980 , 980 Mly	0.80
170.760000	56.027778	LEDA 2522934 , 817 Mly	1.35
170.773333	56.183889	LEDA 3086981 , 965 Mly	0.48
170.775833	56.004167	LEDA 2522101 , 832 Mly	0.75
170.775833	56.017500	LEDA 2522591 , 863 Mly	0.51
170.796667	56.202778	LEDA 2529043 , 972 Mly	0.69
170.810417	56.188611	LEDA 2528585 , 972 Mly	0.49
170.890417	55.989444	LEDA 2521586 , 1372 Mly	0.43
170.895000	56.093889	LEDA 2525290 , 772 Mly	0.64
170.910417	56.131944	LEDA 2526645 , 1061 Mly	0.39
170.970833	56.237500	LEDA 2530229 , 992 Mly	0.55
170.990417	56.175278	LEDA 2815960 , 771 Mly	0.39
171.092500	56.333056	LEDA 2533412 , 962 Mly	0.56
209.158333	53.237500	LEDA 2435433 , 1314 Mly	0.41
209.227917	53.282778	LEDA 2436708 , 1803 Mly	0.50
209.236250	53.866389	LEDA 49614 , 1011 Mly	0.69
209.271250	53.796389	LEDA 2451068 , 1013 Mly	0.36
209.310833	54.100833	LEDA 49636 , 23 Mly	2.20
209.319167	54.210000	LEDA 2816071 , 376 Mly	0.83
209.354167	54.202222	LEDA 2462689 , 374 Mly	0.93
209.361667	54.408056	LEDA 2468747 , 1440 Mly	0.69
209.422917	54.428333	LEDA 2469351 , 1088 Mly	0.55
209.423333	53.340833	LEDA 2438310 , 1089 Mly	0.43
209.478750	54.784444	LEDA 2480217 , 2340 Mly	0.45
209.547500	54.732500	LEDA 2478549 , 908 Mly	0.33
209.611667	54.888056	LEDA 2483578 , 1992 Mly	0.41
209.671667	54.085278	LEDA 2459353 , 1085 Mly	0.65
209.671667	55.323056	LEDA 2498061 , 1766 Mly	0.33
209.701250	55.589444	LEDA 2507497 , 1563 Mly	0.43
209.725833	55.561667	LEDA 2506504 , 598 Mly	0.74
209.732917	55.165833	LEDA 2492759 , 1779 Mly	0.55
209.741250	53.904444	LEDA 2454191 , 1088 Mly	0.45
209.760000	53.861111	LEDA 2452936 , 1601 Mly	0.41
209.773750	55.699722	LEDA 2511324 , 596 Mly	0.72
209.808750	55.150000	LEDA 2492223 , 1077 Mly	0.50
209.829583	55.132778	LEDA 2491652 , 427 Mly	0.56
209.862917	53.865000	LEDA 2453053 , 1184 Mly	0.58
209.877083	54.926667	LEDA 2484799 , 1550 Mly	0.33
209.882083	53.752778	LEDA 2449818 , 1595 Mly	0.49
209.903750	55.011944	LEDA 2487632 , 1766 Mly	0.61
209.914167	55.443333	LEDA 2502281 , 990 Mly	0.40
209.949167	55.300833	LEDA 2497308 , 2183 Mly	0.35
209.964583	55.656667	LEDA 2509846 , 594 Mly	0.47
209.967917	55.465278	LEDA 2503108 , 604 Mly	0.88
209.972917	54.788889	LEDA 49822 , 108 Mly	0.88
209.986667	54.538333	LEDA 2472607 , 1459 Mly	0.33
210.008750	54.779444	LEDA 2480053 , 1753 Mly	0.49
210.065000	55.116389	LEDA 2491120 , 1280 Mly	0.50
210.077083	54.480556	LEDA 2470911 , 1449 Mly	0.45
210.078333	54.771389	LEDA 2479781 , 2003 Mly	0.34
210.135000	55.246111	LEDA 2816073 , 189 Mly	0.44
210.142500	55.254444	LEDA 2800846 , 191 Mly	0.70
210.174583	55.164722	LEDA 49874 , 94 Mly	6.60
210.179583	55.322500	LEDA 2498044 , 991 Mly	0.99
210.223333	55.289722	LEDA 2496936 , 993 Mly	0.53
210.257917	54.932222	LEDA 2484987 , 90 Mly	0.67
210.316667	54.418889	LEDA 49919 , 96 Mly	1.20
210.362917	53.171111	LEDA 2433606 , 1207 Mly	0.39
210.375000	55.520278	LEDA 2505057 , 2204 Mly	0.41
210.507917	55.216944	LEDA 2494552 , 993 Mly	0.59
210.547917	54.933056	LEDA 2485011 , 1585 Mly	0.33
210.586667	55.309722	LEDA 2497608 , 607 Mly	0.36
210.631250	55.610000	LEDA 2508194 , 2279 Mly	0.33
210.657917	55.023889	LEDA 2488024 , 2352 Mly	0.33
210.665417	55.150833	LEDA 2492263 , 982 Mly	0.57
210.717500	55.133056	LEDA 2491663 , 993 Mly	0.84
210.738750	55.318333	LEDA 2497907 , 596 Mly	0.65
210.765417	55.080833	LEDA 2489892 , 969 Mly	0.45
210.801667	54.348056	LEDA 50063 , 17 Mly	56.00
210.852500	55.160000	LEDA 2492567 , 992 Mly	0.33
210.859167	55.487778	LEDA 2503863 , 1143 Mly	0.52
210.880417	55.399444	LEDA 2500638 , 2013 Mly	0.36
210.939583	55.614444	LEDA 2508334 , 596 Mly	0.35
210.944167	55.532222	LEDA 2505453 , 2068 Mly	0.35
210.986250	55.600556	LEDA 2507887 , 599 Mly	0.46
211.076667	54.945278	LEDA 2485420 , 986 Mly	0.63
211.100833	54.935278	LEDA 214207 , 986 Mly	0.64
211.120417	54.396667	LEDA 165629 , 20 Mly	0.49
211.154583	54.793611	LEDA 2480519 , 1165 Mly	0.49
211.178750	55.435278	LEDA 99782 , 79 Mly	0.56
211.180833	54.893611	LEDA 50191 , 103 Mly	4.40
211.230417	54.441389	LEDA 2469762 , 1187 Mly	0.40
211.231667	54.403056	LEDA 2468609 , 1164 Mly	0.90
211.240833	53.691111	LEDA 2448110 , 18 Mly	0.51
211.256667	53.662222	LEDA 50216 , 19 Mly	13.00
211.299167	55.351944	LEDA 2499013 , 1284 Mly	0.37
211.299167	53.115278	LEDA 2432176 , 593 Mly	0.61
211.315000	54.416111	LEDA 2816075 , 1207 Mly	0.42
211.341667	54.270000	LEDA 2464645 , 101 Mly	0.61
211.372500	55.094167	LEDA 2490330 , 1270 Mly	0.65
211.387917	54.461111	LEDA 50262 , 21 Mly	3.80
211.426250	55.020278	LEDA 2487904 , 2766 Mly	0.50
211.437083	53.994722	LEDA 2456753 , 1509 Mly	0.37
211.467917	53.128889	LEDA 50284 , 597 Mly	0.33
211.477083	53.243333	LEDA 2435590 , 597 Mly	0.56
211.497083	55.011944	LEDA 2487633 , 102 Mly	1.02
211.502500	55.225278	LEDA 2494871 , 605 Mly	0.39
211.536250	53.233056	LEDA 2435292 , 1164 Mly	0.54
211.537083	55.224167	LEDA 2494825 , 98 Mly	0.85
211.546667	55.327500	LEDA 2498195 , 1301 Mly	0.45
211.608750	54.964167	LEDA 2485992 , 1133 Mly	0.33
211.700417	55.029722	LEDA 50338 , 103 Mly	0.85
211.707083	55.538889	LEDA 2505695 , 1563 Mly	0.39
211.729167	55.067222	LEDA 2489445 , 3619 Mly	0.35
211.756667	55.519722	LEDA 2505033 , 928 Mly	0.61
211.766250	55.260556	LEDA 2496014 , 2012 Mly	0.39
211.772083	54.405278	LEDA 2468675 , 1228 Mly	0.33
211.780833	52.963889	LEDA 2428287 , 631 Mly	0.49
211.797083	55.001667	LEDA 50369 , 97 Mly	5.40
211.819583	54.800556	LEDA 2480744 , 89 Mly	0.39
211.830000	53.932778	LEDA 2455022 , 1676 Mly	0.40
211.839167	55.491389	LEDA 2504009 , 604 Mly	1.17
211.842500	54.506667	LEDA 2471644 , 979 Mly	0.59
211.843750	54.002500	LEDA 2456975 , 1681 Mly	0.34
211.850417	54.003889	LEDA 2457015 , 1681 Mly	0.45
211.854167	55.103056	LEDA 50383 , 71 Mly	3.00
211.857083	54.009167	LEDA 2457151 , 1671 Mly	0.43
211.872083	54.979444	LEDA 2486514 , 1119 Mly	0.56
211.888750	53.732778	LEDA 2449271 , 1205 Mly	0.39
211.892500	55.111389	LEDA 2490942 , 1916 Mly	0.47
211.912917	54.794444	LEDA 50395 , 117 Mly	1.21
211.914583	55.233056	LEDA 2495124 , 1108 Mly	0.33
211.920417	55.460556	LEDA 2502926 , 1101 Mly	0.33
211.942083	55.491111	LEDA 2503998 , 1086 Mly	0.39
211.948333	53.370278	LEDA 2439146 , 1206 Mly	0.65
211.977500	55.503611	LEDA 2504467 , 601 Mly	0.79
211.980833	53.846944	LEDA 2452513 , 597 Mly	0.63
211.995833	53.800000	LEDA 2816079 , 2494 Mly	0.33
212.003333	55.258056	LEDA 2495934 , 1743 Mly	0.51
212.005000	54.557222	LEDA 2473181 , 1467 Mly	0.41
212.022500	55.415556	LEDA 2501263 , 1100 Mly	0.34
212.057083	53.883056	LEDA 50438 , 605 Mly	0.97
212.061250	53.837500	LEDA 2452243 , 1127 Mly	0.40
212.089583	55.301389	LEDA 50443 , 612 Mly	2.40
212.091667	54.818611	LEDA 2481341 , 593 Mly	0.68
212.102917	55.336667	LEDA 2498513 , 1744 Mly	0.35
212.111250	54.908889	LEDA 50546 , 630 Mly	0.69
212.115833	54.656111	LEDA 2476094 , 1103 Mly	0.43
212.130833	54.032222	LEDA 2457777 , 595 Mly	0.90
212.160000	55.341111	LEDA 2498643 , 1270 Mly	0.73
212.163750	55.466111	LEDA 2503127 , 1069 Mly	0.33
212.177917	53.998333	LEDA 2456843 , 1529 Mly	0.41
212.184167	54.577222	LEDA 2473777 , 1115 Mly	0.54
212.225000	55.440556	LEDA 3087046 , 1055 Mly	0.65
212.226250	54.789167	LEDA 2480371 , 622 Mly	1.08
212.231667	54.718056	LEDA 2478101 , 590 Mly	0.55
212.243333	55.495278	LEDA 2504156 , 1113 Mly	0.35
212.248750	55.229722	LEDA 2495021 , 615 Mly	0.50
212.252500	55.420278	LEDA 2501446 , 96 Mly	0.77
212.257083	54.911667	LEDA 2484319 , 1279 Mly	0.33
212.258750	54.556111	LEDA 2473142 , 1098 Mly	0.75
212.267917	54.872222	LEDA 2483087 , 606 Mly	0.57
212.271667	55.291389	LEDA 2496982 , 1047 Mly	0.50
212.300417	54.333333	LEDA 2466500 , 1423 Mly	0.48
212.332083	55.282222	LEDA 50507 , 608 Mly	2.00
212.338333	54.491944	LEDA 2471228 , 1024 Mly	0.90
212.382083	55.264444	LEDA 214217 , 614 Mly	0.52
212.387917	55.258889	LEDA 2495954 , 620 Mly	0.33
212.421250	54.900833	LEDA 2483979 , 609 Mly	0.61
212.425000	55.460556	LEDA 2502920 , 1086 Mly	0.59
212.457083	55.016111	LEDA 2487761 , 618 Mly	0.65
212.470417	54.926389	LEDA 50460 , 630 Mly	0.69
212.486250	54.946944	LEDA 2816082 , 1120 Mly	0.30
