RA	DEC	NAME	DIAMETER
203.113333	46.810833	LEDA 2287543 , 1648 Mly	0.59
203.115833	45.818611	LEDA 91294 , 1237 Mly	0.85
203.129167	46.091667	LEDA 2275228 , 1608 Mly	0.47
203.175833	47.121944	LEDA 2292718 , 2550 Mly	0.36
203.227500	45.958333	LEDA 2273085 , 1235 Mly	0.35
203.259167	47.627222	LEDA 2301491 , 920 Mly	0.83
203.310000	45.838056	LEDA 47718 , 72 Mly	2.40
203.342500	46.168889	LEDA 2276566 , 539 Mly	0.36
203.362917	46.133889	LEDA 2275974 , 1843 Mly	0.33
203.389583	47.636111	LEDA 2301670 , 902 Mly	0.45
203.442500	47.698889	LEDA 2302775 , 1280 Mly	0.39
203.444583	46.665000	LEDA 2285048 , 1656 Mly	0.37
203.451250	45.731389	LEDA 2269607 , 756 Mly	0.72
203.512500	47.913889	LEDA 47788 , 25 Mly	7.40
203.521250	47.395833	LEDA 2297415 , 2316 Mly	0.37
203.539167	45.965278	LEDA 2273200 , 2657 Mly	0.33
203.554167	46.521389	LEDA 2282638 , 1648 Mly	0.33
203.581250	47.715833	LEDA 2303083 , 1285 Mly	0.42
203.623750	47.726944	LEDA 2303283 , 917 Mly	0.53
203.625417	47.550278	LEDA 3096267 , 888 Mly	0.17
203.637083	46.318333	LEDA 2279104 , 681 Mly	0.68
203.671667	47.114722	LEDA 2292593 , 2668 Mly	0.34
203.739167	47.647500	LEDA 2301872 , 893 Mly	0.56
203.822917	47.617222	LEDA 3096272 , 888 Mly	0.26
203.877500	47.245278	LEDA 2294884 , 2311 Mly	0.43
203.912917	47.975000	LEDA 2308010 , 2785 Mly	0.35
203.931250	47.349444	LEDA 2296637 , 892 Mly	0.65
203.942500	47.419722	LEDA 2297850 , 899 Mly	0.93
203.942917	47.433333	LEDA 2298090 , 938 Mly	0.55
203.971667	47.452500	LEDA 2298462 , 879 Mly	0.45
204.063750	48.296944	LEDA 2314443 , 2450 Mly	0.35
204.188333	48.181944	LEDA 2312093 , 1363 Mly	0.46
166.617500	54.271667	LEDA 33583 , 1108 Mly	0.85
166.785833	54.925833	LEDA 2484769 , 528 Mly	0.63
166.803333	54.535000	LEDA 2472523 , 789 Mly	0.53
166.854583	54.524167	LEDA 33676 , 788 Mly	0.79
166.865833	53.987778	LEDA 2456551 , 881 Mly	0.57
166.872083	53.843056	LEDA 2452381 , 1104 Mly	0.50
166.942500	55.442222	LEDA 2502231 , 1039 Mly	0.43
166.967083	55.146944	LEDA 2492115 , 878 Mly	0.45
166.980000	53.814167	LEDA 213787 , 1116 Mly	0.57
167.010833	55.350556	LEDA 2498969 , 717 Mly	0.77
167.011250	53.616389	LEDA 33726 , 68 Mly	2.00
167.067500	55.878611	LEDA 2517636 , 726 Mly	0.45
167.068750	55.936389	LEDA 2519697 , 731 Mly	0.60
167.073750	53.824167	LEDA 33736 , 313 Mly	2.60
167.080000	55.414722	LEDA 2501220 , 924 Mly	0.59
167.080833	55.705278	LEDA 2815947 , 705 Mly	0.27
167.086667	54.559722	LEDA 2473251 , 1111 Mly	0.64
167.125417	55.595000	LEDA 2507700 , 1239 Mly	0.55
167.189583	56.264444	LEDA 2531124 , 712 Mly	0.50
167.198750	55.654167	LEDA 2509749 , 1235 Mly	0.46
167.206667	54.737500	LEDA 2478713 , 885 Mly	0.45
167.257083	55.563889	LEDA 2506574 , 1246 Mly	0.53
167.289167	54.193889	LEDA 2462471 , 1167 Mly	0.65
167.311250	55.436389	LEDA 33805 , 717 Mly	0.75
167.351667	55.906944	LEDA 2518668 , 918 Mly	0.43
167.387500	54.365278	LEDA 2467455 , 1188 Mly	0.53
167.417500	53.846667	LEDA 2452507 , 314 Mly	0.73
167.482500	56.498056	LEDA 2538680 , 2195 Mly	0.39
167.549583	55.117500	LEDA 2491147 , 848 Mly	0.52
167.560833	56.633889	LEDA 2542964 , 2211 Mly	0.33
167.567083	55.153611	LEDA 2492355 , 852 Mly	0.55
167.594167	54.188056	LEDA 2462316 , 367 Mly	0.47
167.599583	55.660000	LEDA 2509962 , 1122 Mly	0.37
167.605000	54.480556	LEDA 2470917 , 993 Mly	0.62
167.607083	54.169444	LEDA 2461788 , 2062 Mly	0.37
167.626250	55.169722	LEDA 33914 , 841 Mly	2.40
167.642083	54.455278	LEDA 2470157 , 528 Mly	0.77
167.650833	55.526389	LEDA 2505260 , 809 Mly	0.56
