Custom Catalog
User defined catalog
Name;RA(deg);Dec(deg);PixelX;PixelY;Magnitude
SDSS J140053.75+543012.1;210.223972;54.503389;3101.215682;1267.233093;
SDSS J140055.48+540633.2;210.231206;54.109237;4118.396203;1438.596346;
SDSS J140055.87+533233.3;210.232830;53.542604;5582.882982;1671.852059;
SDSS J140056.71+544229.3;210.236301;54.708155;2568.973052;1202.315271;
SDSS J140101.30+530446.3;210.255417;53.079545;6774.743309;1895.584941;
SDSS J140107.18+534253.1;210.279938;53.714752;5126.428500;1673.794920;
SDSS J140110.62+532957.0;210.294270;53.499194;5680.185647;1784.008683;
SDSS J140112.82+543021.2;210.303421;54.505890;3075.912508;1385.450540;
SDSS J140114.26+541355.4;210.309443;54.232081;3782.151681;1506.770895;
SDSS J140116.41+531842.5;210.318413;53.311809;6158.717924;1898.053334;
SDSS J140118.10+553729.8;210.325456;55.624958;177.932334;958.864088;
SDSS J140120.98+542054.3;210.337438;54.348432;3474.738056;1501.227456;
SDSS J140129.99+545243.7;210.374976;54.878810;2095.108941;1338.990931;
SDSS J140131.73+532353.3;210.382212;53.398150;5919.838403;1960.924527;
SDSS J140134.90+533714.3;210.395447;53.620651;5341.507030;1889.355048;
SDSS J140139.39+530653.9;210.414129;53.114998;6643.871615;2127.346781;
SDSS J140143.74+535214.4;210.432284;53.870683;4686.355053;1842.144597;
SDSS J140144.54+552204.3;210.435609;55.367881;816.782123;1226.271202;
SDSS J140151.27+535805.9;210.463641;53.968309;4426.436087;1849.325839;
SDSS J140152.42+544419.1;210.468457;54.738640;2435.005183;1536.256663;
SDSS J140200.84+535955.1;210.503540;53.998650;4338.274777;1897.301025;
SDSS J140202.08+534313.7;210.508694;53.720477;5055.680867;2021.238374;
SDSS J140202.23+535100.8;210.509295;53.850247;4720.259957;1967.986408;
SDSS J140202.45+534132.6;210.510219;53.692404;5127.835227;2035.289610;
SDSS J140206.50+535618.5;210.527115;53.938484;4487.916998;1958.252213;
SDSS J140220.14+545038.0;210.583924;54.843912;2135.219347;1664.224271;
SDSS J140224.05+535517.1;210.600235;53.921425;4513.925242;2076.607846;
SDSS J140243.24+533755.7;210.680176;53.632149;5241.124292;2320.750805;
SDSS J140248.76+551331.4;210.703177;55.225399;1121.004504;1679.595158;
SDSS J140250.33+553007.5;210.709720;55.502097;404.715507;1571.670348;
SDSS J140250.77+532824.7;210.711547;53.473540;5642.857313;2436.177158;
SDSS J140252.00+550430.5;210.716698;55.075158;1505.744089;1763.373869;
SDSS J140257.04+533142.7;210.737675;53.528545;5494.190838;2452.910437;
SDSS J140306.86+531929.7;210.778592;53.324938;6009.605901;2602.724648;
SDSS J140307.14+534535.6;210.779784;53.759895;4886.144983;2418.668416;
SDSS J140314.39+530623.5;210.809978;53.106542;6565.597665;2744.724450;
SDSS J140320.71+532529.0;210.836301;53.424729;5737.170371;2648.857609;
SDSS J140326.04+532108.9;210.858507;53.352483;5918.017866;2714.103972;
SDSS J140329.89+552824.8;210.874561;55.473581;438.406256;1825.027962;
SDSS J140330.83+533749.6;210.878458;53.630449;5195.270528;2625.040215;
SDSS J140332.33+534110.7;210.884719;53.686316;5049.452383;2610.533119;
SDSS J140333.06+552448.9;210.887759;55.413591;590.076900;1870.219074;
SDSS J140333.12+534232.0;210.888019;53.708895;4990.325014;2605.838736;
SDSS J140333.37+534736.1;210.889069;53.793370;4771.999832;2571.004819;
SDSS J140336.62+543044.6;210.902618;54.512399;2912.711265;2281.179748;
SDSS J140337.06+551251.3;210.904435;55.214260;1100.606080;1980.763856;
SDSS J140338.18+531146.9;210.909096;53.196367;6308.062656;2859.522607;
SDSS J140338.94+545553.4;210.912278;54.931509;1828.549842;2114.524965;
SDSS J140342.80+533231.0;210.928341;53.541964;5410.899432;2739.686416;
SDSS J140343.97+550850.7;210.933216;55.147440;1265.990201;2052.078667;
SDSS J140344.24+530732.6;210.934353;53.125741;6483.864433;2929.170440;
SDSS J140344.87+551248.2;210.936966;55.213394;1094.814091;2029.041748;
SDSS J140345.85+535114.7;210.941048;53.854109;4601.964733;2623.935117;
SDSS J140353.88+535931.9;210.974515;53.992207;4237.016640;2614.880610;
SDSS J140354.57+543246.8;210.977394;54.546343;2806.313216;2378.454546;
SDSS J140358.95+534415.3;210.995631;53.737604;4888.642596;2757.725650;
SDSS J140359.08+545621.7;210.996185;54.939381;1787.323870;2235.511695;
SDSS J140359.74+545852.4;210.998925;54.981233;1678.631912;2221.351976;
SDSS J140400.60+541131.2;211.002513;54.192022;3714.253717;2570.342042;
SDSS J140402.62+531642.3;211.010929;53.278432;6069.761264;2981.206819;
SDSS J140403.43+530729.7;211.014329;53.124935;6465.097039;3053.386701;
SDSS J140407.30+544150.5;211.030458;54.697361;2403.243394;2391.956842;
SDSS J140408.60+530108.4;211.035872;53.019011;6732.890620;3133.025633;
SDSS J140412.58+532259.5;211.052436;53.383211;5788.509238;2999.419617;
SDSS J140413.05+532954.9;211.054414;53.498600;5490.212530;2951.985496;
SDSS J140416.77+541615.1;211.069886;54.270877;3493.598845;2637.511235;
SDSS J140416.85+531405.9;211.070238;53.234983;6166.406414;3091.752293;
SDSS J140423.66+532705.5;211.098598;53.451534;5600.145161;3040.462948;
SDSS J140423.67+531639.2;211.098663;53.277567;6049.052225;3116.951569;
SDSS J140426.51+540442.3;211.110461;54.078437;3979.646607;2783.195140;
SDSS J140433.55+532422.8;211.139825;53.406352;5705.928217;3123.707882;
SDSS J140434.21+530334.9;211.142573;53.059702;6599.724467;3280.718107;
SDSS J140435.10+531720.9;211.146285;53.289154;6006.631495;3185.309078;
SDSS J140436.26+551946.6;211.151109;55.329630;741.506461;2293.024411;
SDSS J140443.22+535413.4;211.180101;53.903743;4412.242601;2965.790356;
SDSS J140443.97+544942.8;211.183217;54.828574;2026.011478;2561.679459;
SDSS J140444.19+551636.9;211.184128;55.276936;869.158579;2364.780385;
SDSS J140445.44+535105.6;211.189375;53.851565;4544.414152;3002.961892;
SDSS J140446.12+535705.7;211.192179;53.951605;4285.645300;2962.968139;
SDSS J140447.56+532217.6;211.198181;53.371576;5780.287760;3228.844815;
SDSS J140448.08+550238.1;211.200363;55.043941;1466.117409;2491.800920;
SDSS J140449.25+530302.8;211.205232;53.050800;6606.064884;3381.813763;
SDSS J140449.32+540442.7;211.205505;54.078533;3954.802725;2926.977867;
SDSS J140449.56+535216.4;211.206516;53.871236;4489.202284;3020.327258;
SDSS J140450.61+543852.2;211.210905;54.647859;2485.052303;2682.889738;
SDSS J140454.19+544436.5;211.225815;54.743494;2234.576148;2662.710734;
SDSS J140458.17+532916.8;211.242379;53.488007;5468.261257;3245.125449;
SDSS J140459.15+545808.9;211.246499;54.969154;1647.280718;2593.214068;
SDSS J140500.85+535100.9;211.253549;53.850273;4530.961628;3101.165871;
SDSS J140504.27+545422.3;211.267792;54.906203;1804.193284;2652.760699;
SDSS J140505.83+544716.1;211.274299;54.787833;2107.790093;2715.133724;
SDSS J140506.80+543227.3;211.278333;54.540926;2743.464209;2831.144309;
SDSS J140508.42+535837.6;211.285119;53.977118;4195.569193;3092.640337;
SDSS J140508.60+530539.0;211.285850;53.094174;6472.639684;3487.469468;
SDSS J140509.72+532708.6;211.290506;53.452414;5547.319713;3334.853107;
SDSS J140512.55+531451.8;211.302296;53.247733;6072.117051;3444.360128;
SDSS J140515.80+534346.8;211.315854;53.729691;4825.521157;3249.836426;
SDSS J140518.02+531530.0;211.325088;53.258339;6038.669905;3474.785044;
SDSS J140523.82+532500.5;211.349251;53.416810;5623.503114;3441.020427;
SDSS J140525.49+552837.4;211.356231;55.477076;309.318940;2527.828339;
SDSS J140526.24+543731.2;211.359336;54.625336;2504.829109;2914.446020;
SDSS J140526.63+540630.6;211.360965;54.108526;3836.827309;3148.704037;
SDSS J140527.38+545238.7;211.364087;54.877439;1853.607195;2808.416237;
SDSS J140529.74+540159.6;211.373921;54.033237;4027.523470;3202.094846;
SDSS J140532.25+530401.5;211.384399;53.067095;6516.004048;3652.261958;
SDSS J140536.89+532745.1;211.403733;53.462548;5490.988797;3504.148598;
SDSS J140540.19+532850.6;211.417491;53.480736;5440.405477;3517.067569;
SDSS J140542.53+532323.5;211.427213;53.389873;5672.077371;3572.971582;
SDSS J140549.52+544744.7;211.456340;54.795778;2040.195520;2982.157502;
SDSS J140551.57+535210.1;211.464879;53.869483;4425.545310;3413.883749;
SDSS J140551.94+540509.5;211.466444;54.085992;3867.055844;3318.303541;
SDSS J140551.98+533852.0;211.466615;53.647794;4996.542795;3516.832488;
SDSS J140552.43+531257.2;211.468463;53.215904;6109.517784;3715.137085;
SDSS J140553.05+532448.1;211.471054;53.413370;5599.691923;3629.735408;
SDSS J140553.68+550705.8;211.473685;55.118279;1204.343572;2861.919540;
SDSS J140554.13+533321.0;211.475577;53.555838;5231.188582;3572.166398;
SDSS J140554.87+530323.5;211.478651;53.056546;6517.669601;3803.065186;
